"id","category","pattern_name","description","user_or_business_purpose","observed_examples","source_urls","award_or_recognition","suitable_context","unsuitable_context","accessibility_considerations","performance_considerations","implementation_complexity","relevance_to_this_repo","recommended_application","confidence"
"FORM-03","Forms and input behaviour","Search remains a separate future control","If Store search is later justified, place it beside or below the category system with an explicit label and independent state.","Prevents browse categories and keyword search from becoming one ambiguous control.","RTRFM uses scoped search within a larger portal; Splice separates editorial taxonomy from search.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/334297/splice-blog","RTRFM: Webby winner 2025; Splice Blog: Webby nominee 2025","A later catalog with validated search need.","This header improvement, which has no search requirement.","Future input needs visible label, instructions, empty state, and keyboard behavior.","Would require indexing and client or server query work; defer until needed.","medium","low","Record this as excluded scope, not implementation work.","high"
"FORM-04","Forms and input behaviour","Links do not imitate filter toggles","Style category destinations as index cells or a rail, not as checkbox chips or pill toggles.","Communicates that each choice changes route and page context rather than mutating a local filter.","NAMESAKE uses browse navigation distinct from controls; BlackBox Distro already owns button-like format filtering.","https://www.cssdesignawards.com/sites/namesake/43003","NAMESAKE: CSSDA WOTD 2023","Route-based Store shelves.","In-page multi-select filtering with combinable values.","Native link semantics and aria-current are more appropriate than pressed/selected button states.","No control-state JavaScript.","low","high","Avoid pills and preserve square destination treatment.","high"
"STATE-01","Interaction states","Quiet hover preview","On hover, strengthen label and rule before navigation without moving layout.","Signals clickability and previews the active visual language.","District and RCA use typographic interaction; their more expressive motion can be reduced to colour and border feedback here.","https://www.cssdesignawards.com/sites/district/35283/; https://www.commarts.com/webpicks/rca-records","District: CSSDA WOTD 2019; RCA: Communication Arts Webpick","Pointer devices on the Store rail.","Touch-only assumptions or motion-heavy hover effects.","Hover cannot be the only way to reveal meaning.","Transition colour/border only.","low","high","Use hover text and border contrast without translation or scale.","high"
"STATE-02","Interaction states","Independent focus appearance","Give keyboard focus a visible ring or outline that is distinct from current and hover states.","Lets keyboard users locate focus even when the focused link is already current.","W3C focus guidance requires sufficient visible indication; award-site minimalism should not erase it.","https://www.w3.org/WAI/WCAG22/Understanding/focus-appearance.html; https://www.awwwards.com/sites/lnwy","W3C WCAG guidance; LNWY: Awwwards HM","Every category link.","No exception for this component.","Retain the global focus-visible treatment and test it on burgundy tint.","CSS only.","low","high","Do not replace the repository focus ring with only an underline.","high"
"STATE-03","Interaction states","Persistent current location","The active shelf stays visually marked after navigation and is programmatically exposed with aria-current.","Supports orientation across shell-managed page swaps and direct loads.","Compact browse systems in NAMESAKE and Highsnobiety maintain route context; W3C documents aria-current for navigation.","https://www.w3.org/WAI/WCAG22/Techniques/aria/ARIA26; https://www.cssdesignawards.com/sites/namesake/43003; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/fashion-style-beauty/280474/highsnobiety","W3C technique; NAMESAKE: CSSDA WOTD 2023; Highsnobiety: Webby People's Voice winner 2024","Every Store shelf route.","Transient filters with no current-page meaning.","Keep exactly one aria-current page value in the set.","Server-rendered state; no runtime store.","low","high","Preserve current activeCategoryId logic and strengthen only presentation.","high"
"STATE-04","Interaction states","Pending navigation keeps geometry stable","During shell navigation, keep the rail dimensions and current marker stable until the next page replaces content.","Avoids layout jump and uncertain state during short route transitions.","A Light in the Woods uses deliberate transition language; BlackBox should reduce that idea to continuity rather than spectacle.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/281310/a-light-in-the-woods","A Light in the Woods: Webby nominee and People's Voice visual-design winner 2024","Existing app-shell transitions.","Long async filters that need explicit per-control progress.","Do not disable native links or trap focus during navigation.","Reuse the shell transition; add no component loader.","low","high","Leave loading ownership in AppShellRoot and avoid a new nav pending state.","high"
"MOTION-01","Motion and transitions","Colour and border transition only","Animate current/hover feedback through colour, background, and border over roughly 150–200ms.","Adds polish without turning a utility header into an attraction.","District, RCA, and UPPERGROUND use expressive interaction; the transferable minimum is immediate state confirmation.","https://www.cssdesignawards.com/sites/district/35283/; https://www.commarts.com/webpicks/rca-records; https://www.awwwards.com/sites/upperground","District: CSSDA WOTD 2019; RCA: Communication Arts Webpick; UPPERGROUND: Awwwards HM 2023","Hover and focus feedback.","Narrative hero sequences or deliberate immersive transitions.","Respect reduced-motion preferences even though colour changes are low motion.","Composite-free colour transitions are cheap at this scale.","low","high","Keep transition-colors and add no transforms.","high"
"MOTION-02","Motion and transitions","No layout-shifting active animation","Do not move, scale, or resize the active cell when routes change.","Preserves scan position and prevents neighboring labels from jumping.","LNWY's restrained monochrome system is the better model for this utility than sound-reactive District or RCA effects.","https://www.awwwards.com/sites/lnwy; https://www.cssdesignawards.com/sites/district/35283/; https://www.commarts.com/webpicks/rca-records","LNWY: Awwwards HM; District: CSSDA WOTD; RCA: Communication Arts Webpick","Category navigation.","Expressive campaign components where movement itself communicates meaning.","Layout stability helps magnification and cognitive tracking.","Avoids layout and paint work from transforms or size changes.","low","high","Keep cell size identical in all states.","high"
"MOTION-03","Motion and transitions","Reduced-motion compatibility","Any decorative transition should become immediate when prefers-reduced-motion is active.","Respects user preference without changing information or navigation.","Rock and Roll Hall of Fame exposes a Reduce Motion control; W3C treats interaction-triggered animation as an accessibility concern.","https://winners.webbyawards.com/2026/websites-and-mobile-sites/general-desktop-mobile-sites/music/372721/the-rock--roll-hall-of-fame-website; https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html","Rock Hall: Webby nominee 2026; W3C WCAG guidance","Any nonessential transition added to the Store rail.","Instant state changes with no motion already present.","Motion preference must not remove current, hover, or focus information.","A media query is sufficient.","low","high","Rely on existing global reduced-motion policy or add a scoped zero-duration override only if needed.","high"
"MOTION-04","Motion and transitions","No sound, WebGL, or scroll theatre","Reject audio-reactive type, autoplay sound, 3D objects, and scroll hijacking for this header.","Keeps shopping fast and avoids copying the distinctive spectacles of award sites.","District links audio to animation; Because Recollection and The Music Project use WebGL/3D; these are identity experiences, not category-control patterns.","https://www.cssdesignawards.com/sites/district/35283/; https://www.cssdesignawards.com/woty/because-recollection/27581/; https://www.cssdesignawards.com/sites/the-music-project/48363/","District: CSSDA WOTD; Because Recollection: CSSDA WOTY; The Music Project: CSSDA Special Kudos","None for this Store header.","Dedicated immersive music stories where exploration, not transaction, is the goal.","Avoids vestibular, autoplay, and unexpected-audio barriers.","Avoids the largest script, GPU, media, and network costs.","low","high","List these techniques as explicit OpenSpec non-goals.","high"
"STATUS-01","Loading, empty, success, and error states","Hide undiscoverable empty shelves","Do not render a category destination when its content type is intentionally undiscoverable and empty.","Prevents sending shoppers to a dead shelf.","Telepathic Instruments makes availability explicit; curated stores such as The Cloister avoid presenting irrelevant inventory doors.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/shopping-retail/337881/telepathic-instruments; https://www.awwwards.com/sites/the-cloister","Telepathic Instruments: Webby nominee 2025; The Cloister: Awwwards HM 2023","Current conditional Merch discovery contract.","Categories that should remain visible with an intentional coming-soon state.","Do not change category order unexpectedly within a session; route-level state should be clear.","Build-time discovery; no request.","low","high","Preserve getDiscoverableStoreCatalogCategories behavior.","high"
"STATUS-02","Loading, empty, success, and error states","Empty collection message after persistent navigation","If a reachable shelf has no products, keep the header and show a plain status message in the catalog region.","Preserves escape routes and explains the state without turning the header into an error panel.","Telepathic Instruments uses explicit sold-out language; independent stores keep browsing structure available around availability states.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/shopping-retail/337881/telepathic-instruments; https://www.cssdesignawards.com/sites/studio-karo/47898/","Telepathic Instruments: Webby nominee 2025; Studio KARO: CSSDA WOTD 2025","Temporary out-of-stock or no-merch conditions.","Invalid routes, which need a not-found response.","Use role=status for the empty message without auto-focusing it.","Static text only.","low","high","Leave empty-state ownership in StoreCollectionPage and keep the category rail intact.","high"
"STATUS-03","Loading, empty, success, and error states","Stable header during content loading","Do not replace category labels with skeletons during shell fetches.","Keeps orientation and lets the shopper retry or choose another shelf.","A Light in the Woods shows transition continuity; the BlackBox application shell already owns route loading globally.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/281310/a-light-in-the-woods","A Light in the Woods: Webby nominee and visual-design People's Voice winner 2024","Shell-managed category navigation.","Data grids whose controls themselves depend on unknown server state.","Persistent native links remain usable and understandable.","Avoids duplicate skeleton markup and hydration.","low","high","Keep category HTML static across loading states.","high"
"STATUS-04","Loading, empty, success, and error states","Native error recovery","Because every category is a real href, failed shell interception can fall back to normal document navigation.","Provides a resilient path when enhanced navigation fails.","W3C recommends native links; recognized editorial sites retain URL-addressable destinations despite rich transitions.","https://www.w3.org/WAI/ARIA/apg/patterns/link/; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/281310/a-light-in-the-woods","W3C APG guidance; A Light in the Woods: Webby recognition 2024","All current Store routes.","Controls that perform mutations rather than navigation.","Native links retain keyboard and assistive-technology behavior on failure.","Progressive enhancement avoids duplicate error UI.","low","high","Do not replace href navigation with client-only state.","high"
"A11Y-01","Accessibility","Named Store navigation landmark","Wrap the shelf links in nav with an accessible name specific to Store categories.","Lets screen-reader users distinguish this navigation from the site header, Distro formats, and footer.","W3C guidance recommends purpose-based names such as Product; BlackBox already uses Store categories.","https://www.w3.org/WAI/ARIA/apg/practices/names-and-descriptions/; https://www.w3.org/WAI/ARIA/apg/patterns/landmarks/examples/navigation.html","W3C APG guidance","Pages with multiple navigation regions.","A page with only one obvious navigation region, where a label is optional.","Keep aria-label concise and unique among non-identical nav landmarks.","No cost.","low","high","Preserve aria-label='Store categories'.","high"
"A11Y-02","Accessibility","Programmatic current page","Use aria-current='page' on exactly the active category link.","Communicates the same location information conveyed visually.","W3C ARIA26 documents this technique for navigation bars.","https://www.w3.org/WAI/WCAG22/Techniques/aria/ARIA26","W3C WCAG technique","Route-based category navigation.","Multi-select filters or tabs that do not represent current page.","Exactly one item should carry the current page value.","No cost.","low","high","Preserve the current activeCategoryId mapping.","high"
"A11Y-03","Accessibility","Target size and separation","Ensure each shelf target contains at least a 24px square and preferably retains the existing 44px height.","Reduces accidental activation for touch and motor-impaired users.","W3C WCAG 2.2 explains target size and spacing requirements.","https://www.w3.org/WAI/WCAG22/Understanding/target-size-minimum.html","W3C WCAG 2.2 understanding guidance","All category links.","Inline links embedded in prose, which have a specific exception.","Test wrapped labels and adjacent two-row mobile cells for sufficient target geometry.","No material cost.","low","high","Keep min-h-11 and full-cell clickable area.","high"
"A11Y-04","Accessibility","State never conveyed by colour alone","Pair burgundy with rule thickness, text weight, and aria-current.","Makes active location perceivable with colour-vision differences and monochrome displays.","W3C Use of Color guidance applies; LNWY shows a monochrome system can retain clear state.","https://www.w3.org/WAI/WCAG22/Understanding/use-of-color.html; https://www.awwwards.com/sites/lnwy","W3C WCAG guidance; LNWY: Awwwards HM 2017","Any accented current or focus state.","Purely decorative colour changes with no informational meaning.","Test current, hover, and focus independently.","CSS only.","low","high","Use burgundy as reinforcement, not the sole marker.","high"
"PERF-01","Performance","CSS-first header","Implement layout and states with server-rendered HTML and CSS only.","Keeps category switching responsive and avoids adding maintenance for a static interaction.","LNWY's sparse navigation and Analogue Foundation's restraint transfer without their heavier page-level experiences.","https://www.awwwards.com/sites/lnwy; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation","LNWY: Awwwards HM 2017; Analogue Foundation: Webby nominee 2024","All three proposed directions.","Controls needing live client-side selection, drag, or async data.","Native semantics remain intact without hydration races.","No new JavaScript bundle or hydration.","low","high","Use Astro markup and utility/global CSS only.","high"
"PERF-02","Performance","No new header media","Do not add photos, video, texture images, canvases, or 3D to the category header.","Protects first-view speed and keeps product artwork as the visual focus.","Because Recollection, The Music Project, and Subterranean Dreams use media for immersive purposes that do not transfer to a utility header.","https://www.cssdesignawards.com/woty/because-recollection/27581/; https://www.cssdesignawards.com/sites/the-music-project/48363/; https://www.cssdesignawards.com/sites/subterranean-dreams/45034/","Because Recollection: CSSDA WOTY; The Music Project and Subterranean Dreams: CSSDA Special Kudos","Store category controls.","Dedicated campaign or listening experiences where media is primary content.","Avoids autoplay and text-over-image contrast problems.","Zero additional bytes and decode work.","low","high","Express the underground aesthetic with type, spacing, rules, and existing colour tokens.","high"
"PERF-03","Performance","Reuse loaded fonts","Use Veneer/Bebas and Geist Mono already present in the page rather than introducing an award-inspired typeface.","Preserves brand consistency and avoids another font request or layout shift.","RCA and i-D show that typography can define identity, but their exact type systems are distinctive assets and should not be copied.","https://www.commarts.com/webpicks/rca-records; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id","RCA: Communication Arts Webpick; i-D: Webby winner 2025","All directions in this repository.","An approved full rebrand with budget for new font licensing and loading.","Existing fallbacks and readable utility type remain available.","No new font files, preloads, or CLS risk.","low","high","Limit PoCs and plan to existing font variables.","high"
"PERF-04","Performance","No extra catalog request for header metadata","Any count or category visibility must derive from existing build-time collection data.","Prevents a decorative header enhancement from delaying navigation or adding failure modes.","Archive-led references support rich metadata, but BlackBox can obtain it from its static catalog rather than a runtime service.","https://www.cssdesignawards.com/woty/because-recollection/27581/; https://www.cssdesignawards.com/sites/crappy-explanation/38759/","Because Recollection: CSSDA WOTY 2016; Crappy Explanation: CSSDA Special Kudos 2021","Static Astro builds with existing entry lists.","Live inventory authority that must be real-time and cannot be represented safely at build time.","Do not present static counts as live stock.","No new API call; minimal build-time calculation.","low","high","Counts, if selected, represent catalog entries only and never inventory.","high"
"MOBILE-01","Mobile behaviour","Two-by-two shelf ledger","Render four category cells in two columns on narrow screens.","Keeps every shelf visible within a compact height and gives labels generous target area.","The Cloister and UPPERGROUND explicitly present mobile variants; Musical Zoo demonstrates grid rhythm.","https://www.awwwards.com/sites/the-cloister; https://www.awwwards.com/sites/upperground; https://www.cssdesignawards.com/sites/musical-zoo-festival/33176/","The Cloister and UPPERGROUND: Awwwards HM; Musical Zoo: CSSDA WOTD","Exactly four short category destinations.","Frequently changing category counts or very long localized labels.","Maintain reading order 01–04 and full-cell focus indication.","One media query.","low","high","Use grid-cols-2 on mobile and grid-cols-4 at desktop for the record-crate direction.","high"
"MOBILE-02","Mobile behaviour","Complete labels, no truncation","Allow BlackBox Releases to wrap naturally rather than abbreviating or clipping it.","Preserves category meaning and avoids forcing users to infer shorthand.","i-D and LNWY demonstrate compact labels with deliberate space rather than app-style truncation.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id; https://www.awwwards.com/sites/lnwy","i-D: Webby winner 2025; LNWY: Awwwards HM","A two-column ledger with controlled cell padding.","Single-line toolbars where vertical expansion would obstruct a primary task.","Text must remain legible under zoom and user font overrides.","No cost.","low","high","Permit two lines in the long cell and keep equal minimum height.","high"
"MOBILE-03","Mobile behaviour","No horizontal-scroll dependency","Prefer visible grid reflow over an off-screen category rail.","Avoids hiding Merch or requiring an overflow cue that the current design lacks.","Recognized mobile compositions in The Cloister and UPPERGROUND support deliberate reflow.","https://www.awwwards.com/sites/the-cloister; https://www.awwwards.com/sites/upperground","The Cloister and UPPERGROUND: Awwwards HM","Four categories that fit a two-row grid.","Large swipeable media or timelines where horizontal movement is expected.","WCAG reflow and keyboard traversal are simpler when all links are visible.","Avoids scroll snapping and overflow scripts.","low","high","Do not implement horizontal scrolling for the chosen PoC unless user testing rejects the grid.","high"
"MOBILE-04","Mobile behaviour","Compact masthead copy","On mobile, cap the integrated masthead to one title, one short context line, and the category ledger.","Prevents the strongest visual direction from pushing products too far below the fold.","Analogue Foundation uses intentional pacing; Hellfest shows how event-scale content density would be excessive for a Store header.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation; https://www.awwwards.com/sites/hellfest-1","Analogue Foundation: Webby nominee; Hellfest: Awwwards HM","Flyposter masthead direction.","Long-form editorial intros where reading is the page's primary task.","Avoid fixed heights that clip zoomed or wrapped text.","Less content improves initial paint and reduces layout height.","low","high","Use one sentence maximum and no mobile-only decorative media.","high"
"STYLE-01","Visual styling","Square edges over pills","Use square or near-square cells and existing thin borders.","Connects the header to record sleeves, crates, print grids, and current Store cards.","RCA, Musical Zoo, Crappy Explanation, and NAMESAKE all support grid-led rather than soft-pill expression.","https://www.cssdesignawards.com/sites/rca-records/43114/; https://www.cssdesignawards.com/sites/musical-zoo-festival/33176/; https://www.cssdesignawards.com/sites/crappy-explanation/38759/; https://www.cssdesignawards.com/sites/namesake/43003","RCA: CSSDA Special Kudos; Musical Zoo and NAMESAKE: CSSDA WOTD; Crappy Explanation: CSSDA Special Kudos","Primary Store category navigation.","Tag filters or status chips whose established component language is pill-based.","Full-cell boundaries can help target perception; focus still needs its own indicator.","Border CSS only.","low","high","Avoid rounded tabs and align cells to the catalog card geometry.","high"
"STYLE-02","Visual styling","Hairline grid with thick active registration","Use 1px structural rules and one 3px active edge.","Creates a print-registration feel and a strong current marker without shadows.","LNWY uses thin monochrome markers; RCA and District use bold grid accents.","https://www.awwwards.com/sites/lnwy; https://www.cssdesignawards.com/sites/rca-records/43114/; https://www.cssdesignawards.com/sites/district/35283/","LNWY: Awwwards HM; RCA: CSSDA Special Kudos; District: CSSDA WOTD","Dark square-cell navigation.","Soft surfaces where heavy rules conflict with the design system.","Active edge must not be the only state cue.","Negligible CSS cost.","low","high","Use border-border for the grid and Store burgundy for the active top edge.","high"
"STYLE-03","Visual styling","No elevation for navigation","Separate the header through rules, spacing, and tint rather than box shadow.","Maintains a flat printed/editorial character and avoids generic card styling.","The Cloister and LNWY use restrained surfaces; i-D relies on typography rather than elevated panels.","https://www.awwwards.com/sites/the-cloister; https://www.awwwards.com/sites/lnwy; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id","The Cloister and LNWY: Awwwards HM; i-D: Webby winner","Category bands on the base page surface.","Modals, popovers, or genuinely layered controls.","Flat boundaries still need sufficient contrast.","Avoids shadow paint and CSS clutter.","low","high","Do not add shadow, glow, glass, or gradient to the Store rail.","high"
"STYLE-04","Visual styling","Optional print imperfection as a tiny detail","If extra character is needed after the structural design works, use a restrained registration offset or low-opacity texture on one nonessential mark.","Adds underground print character without competing with cover art or compromising navigation.","The Music Project, Crappy Explanation, and Perpetuum.inc use tactile or retro visual language at larger scale.","https://www.cssdesignawards.com/sites/the-music-project/48363/; https://www.cssdesignawards.com/sites/crappy-explanation/38759/; https://www.awwwards.com/sites/perpetuum-inc","The Music Project and Crappy Explanation: CSSDA Special Kudos; Perpetuum.inc: Awwwards HM","A later polish pass after hierarchy and accessibility are validated.","The first implementation or any detail that affects text legibility.","Texture must be decorative, ignored by assistive tech, and removable under forced colours.","Prefer CSS; do not add an image asset until a measured need exists.","medium","medium","Exclude texture from the initial OpenSpec slice; retain one burgundy registration mark as the cheap substitute.","medium"
"BRAND-01","Brand expression","Record-crate indexing","Use sequence numbers, cells, and catalog counts to evoke physical record browsing without illustrating a crate.","Makes the Store feel native to an underground label using functional structure rather than themed decoration.","Because Recollection, Crappy Explanation, and LNWY connect music discovery to archive or record-store language.","https://www.cssdesignawards.com/woty/because-recollection/27581/; https://www.cssdesignawards.com/sites/crappy-explanation/38759/; https://www.awwwards.com/sites/lnwy","Because Recollection: CSSDA WOTY; Crappy Explanation: CSSDA Special Kudos; LNWY: Awwwards HM","Four stable Store shelves.","Digital-only services where physical-media language would be misleading.","Labels remain literal and understandable; the metaphor is supplementary.","Text and CSS Grid only.","low","high","Use the record-crate direction as the leading PoC.","high"
"BRAND-02","Brand expression","Flyposter hierarchy","Use oversized distressed display type, mono metadata, asymmetric alignment, and rules like an underground gig poster.","Strengthens label voice while preserving a functional category path.","Hellfest, RCA, District, and i-D use bold type and subculture hierarchy in different forms.","https://www.awwwards.com/sites/hellfest-1; https://www.commarts.com/webpicks/rca-records; https://www.cssdesignawards.com/sites/district/35283/; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id","Hellfest: Awwwards HM; RCA: Communication Arts Webpick; District: CSSDA WOTD; i-D: Webby winner","Integrated masthead direction.","Tiny utility bars or pages already dominated by a large hero.","Visual asymmetry cannot alter reading and focus order.","Existing fonts and CSS only.","medium","high","Use this only in the masthead PoC, with a strict mobile height budget.","high"
"BRAND-03","Brand expression","Burgundy as a label stamp","Treat Store burgundy like a stamped mark used only for current state or one registration detail.","Creates a recognizable Store signature while leaving the broader site monochrome.","UPPERGROUND demonstrates a controlled label colour; underground print references support concentrated ink hits.","https://www.awwwards.com/sites/upperground; https://www.cssdesignawards.com/sites/make-it-rain-records/32969/","UPPERGROUND: Awwwards HM; Make It Rain Records: CSSDA WOTD","Active rules, small labels, and one decorative registration mark.","Large backgrounds, body copy, or multiple competing accents.","Pair with non-colour state cues and verify contrast.","Existing token only.","low","high","Use burgundy in less than roughly ten percent of the header area.","medium"
"BRAND-04","Brand expression","Voice through concise catalog copy","Use one direct line in BlackBox's voice instead of generic ecommerce slogans.","Reinforces curation and independence without needing photography or campaign assets.","RTRFM uses a repeated brand phrase; Analogue Foundation and i-D rely on editorial voice and pacing.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id","RTRFM: Webby winner; Analogue Foundation: Webby nominee; i-D: Webby winner","Integrated masthead with existing category descriptions.","Rail-only option where additional copy would duplicate the page below.","Use plain language and avoid all-caps paragraphs.","Static content only.","low","high","Reuse or tighten existing category description; do not invent campaign copy in implementation.","medium"
"CONV-01","Conversion and task completion","Immediate shelf switching","Keep every shelf one activation away from the current page.","Supports fast catalog exploration and reduces navigation detours before product evaluation.","NAMESAKE, Studio KARO, and Highsnobiety expose direct commerce browse paths within strong brand systems.","https://www.cssdesignawards.com/sites/namesake/43003; https://www.cssdesignawards.com/sites/studio-karo/47898/; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/fashion-style-beauty/280474/highsnobiety","NAMESAKE and Studio KARO: CSSDA WOTD; Highsnobiety: Webby People's Voice winner","Small peer category sets.","Deep catalogs where a second-level category choice is unavoidable.","Full-cell native links support multiple input methods.","Static links are fastest and most resilient.","low","high","Keep four direct href destinations visible at all breakpoints.","high"
"CONV-02","Conversion and task completion","Current shelf certainty","Make route location obvious before products appear.","Can reduce accidental re-selection and backtracking by clarifying what assortment is being viewed.","i-D and LNWY use strong location hierarchy within compact navigation; W3C supports programmatic current location.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id; https://www.awwwards.com/sites/lnwy; https://www.w3.org/WAI/WCAG22/Techniques/aria/ARIA26","i-D: Webby winner; LNWY: Awwwards HM; W3C technique","Every category route.","Single-page catalogs with no category state.","Visual and programmatic current states must agree.","No runtime cost.","low","high","Strengthen the current cell and preserve aria-current.","high"
"CONV-03","Conversion and task completion","Assortment expectation through optional count","A small catalog-entry count can help shoppers choose a shelf before navigation.","Sets scope without promising inventory or availability.","Archive-led Because Recollection and Apple Music 100 make collection scale part of orientation.","https://www.cssdesignawards.com/woty/because-recollection/27581/; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/332153/apple-music-100-best-albums--microsite","Because Recollection: CSSDA WOTY; Apple Music 100: Webby nominee","Store shelves with materially different catalog sizes.","Counts likely to be confused with stock, or nearly identical counts that add no decision value.","Label counts as items, never stock; keep them visually secondary.","Build-time calculation only.","low","medium","Prototype counts in the record-crate image, then remove them if they distract.","medium"
"CONV-04","Conversion and task completion","Cart remains a separate persistent utility","Do not merge cart state or checkout action into the category header.","Keeps browsing and purchase continuation available without competing inside one control.","NAMESAKE and other awarded commerce sites separate browse structure from bag utility.","https://www.cssdesignawards.com/sites/namesake/43003; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/shopping-retail/337881/telepathic-instruments","NAMESAKE: CSSDA WOTD; Telepathic Instruments: Webby nominee","Existing BlackBox app shell with persistent cart.","A checkout page where cart summary is the primary task.","Separate accessible names and focus order for category and cart regions.","Avoids duplicating cart client state and hydration.","low","high","Leave StoreCartHeaderContainer ownership unchanged.","high"
